"","X4","X5"
"1","Pos","Height"
"2","G","1.93"
"3","D","1.83"
"4","D","1.85"
"5","M","1.83"
"6","M","1.78"
"7","M","1.80"
"8","M","1.76"
"9","F","1.83"
"10","F","1.77"
"11","D","1.78"
"12","G","1.88"
"13","F","1.80"
"14","D","1.78"
"15","D","1.80"
"16","F","1.80"
"17","M","1.75"
"18","M","1.83"
"19","G","1.89"
"20","G","1.88"
"21","M","1.63"
"22","D","1.91"
"23","D","1.73"
"24","F","1.84"
"25","M","1.70"
"26","M","1.76"
"27","D","1.85"
"28","D","1.89"
"29","D","1.78"
"30","G","1.96"
"31","D","1.78"
"32","F","1.91"
"33","G","1.86"
"34","G","1.85"
"35","M","1.78"
"36","M","1.79"
"37","G","1.91"
"38","Players no longer at this club","Players no longer at this club"
"39","Pos","Height"
"40","M","1.78"
"41","M","1.65"
"42","M","1.73"
"43","D","1.80"
"44","M","1.70"
"45","D","1.78"
"46","D","1.75"
"47","D","1.88"
"48","F","1.83"
"49","F","1.80"
"50","F","1.68"
