"","X4","X5"
"1","Pos","Height"
"2","G","1.97"
"3","D","1.85"
"4","D","1.90"
"5","D","1.93"
"6","D","1.96"
"7","D","1.80"
"8","F","1.77"
"9","M","1.75"
"10","F","1.85"
"11","F","1.79"
"12","M","1.79"
"13","D","1.91"
"14","D","1.87"
"15","D","1.90"
"16","M","1.84"
"17","F","1.81"
"18","F","1.78"
"19","M","1.85"
"20","M","1.87"
"21","M","1.74"
"22","D","1.86"
"23","D","1.85"
"24","D","1.88"
"25","M","1.83"
"26","M","1.90"
"27","G","1.89"
"28","D","1.91"
"29","F","1.86"
"30","G","1.91"
"31","M","1.82"
"32","M","1.74"
"33","Players no longer at this club","Players no longer at this club"
"34","Pos","Height"
"35","G","1.92"
"36","M","1.81"
"37","M","1.75"
"38","F","1.80"
"39","D","1.68"
"40","F","1.76"
"41","F","1.82"
"42","M","1.81"
"43","G","2.01"
