"","X4","X5"
"1","Pos","Height"
"2","G","1.88"
"3","D","1.78"
"4","D","1.74"
"5","D","1.87"
"6","D","1.89"
"7","D","1.87"
"8","F","1.83"
"9","M","1.76"
"10","F","1.83"
"11","F","1.88"
"12","M","1.81"
"13","M","1.84"
"14","G","1.84"
"15","M","1.88"
"16","D","1.73"
"17","M","1.87"
"18","F","1.93"
"19","M","1.88"
"20","D","1.79"
"21","G","1.96"
"22","M","1.82"
"23","D","1.75"
"24","M","1.72"
"25","D","1.82"
"26","M","1.79"
"27","G","1.90"
"28","M","1.78"
"29","M","1.78"
"30","D","1.83"
"31","G","1.88"
"32","M","1.79"
"33","M","1.75"
"34","D","1.83"
"35","M","1.78"
"36","M","1.76"
"37","D","1.84"
"38","G","1.95"
"39","M","1.83"
"40","G","1.96"
"41","D","1.81"
"42","M","1.75"
"43","D","1.81"
"44","M","1.81"
"45","F","1.78"
"46","M","1.78"
"47","M","1.78"
"48","F","1.75"
"49","D","1.87"
"50","F","1.75"
"51","M","1.71"
"52","D","1.88"
"53","F","1.74"
"54","M","1.79"
"55","M","1.76"
"56","M","1.68"
"57","D","1.83"
"58","G","1.83"
"59","Players no longer at this club","Players no longer at this club"
"60","Pos","Height"
"61","D","1.83"
"62","M","1.76"
"63","M","1.76"
"64","M","1.85"
"65","D","1.82"
"66","M","1.85"
"67","D","1.75"
"68","M","1.75"
"69","D","1.79"
"70","F","1.75"
"71","F","1.83"
"72","G","1.90"
