"","X4","X5"
"1","Pos","Height"
"2","G","1.93"
"3","D","1.89"
"4","D","1.97"
"5","D","1.85"
"6","F","1.78"
"7","F","1.78"
"8","F","1.88"
"9","F","1.78"
"10","M","1.83"
"11","F","1.93"
"12","M","1.73"
"13","M","1.83"
"14","M","1.84"
"15","D","1.79"
"16","M","1.73"
"17","M","1.85"
"18","G","1.96"
"19","D","1.83"
"20","D","1.89"
"21","M","1.74"
"22","G","1.91"
"23","G","2.01"
"24","M","1.75"
"25","F","1.76"
"26","G","1.83"
"27","F","1.85"
"28","M","1.79"
"29","Players no longer at this club","Players no longer at this club"
"30","Pos","Height"
"31","M","1.81"
"32","M","1.81"
"33","M","1.73"
"34","F","1.81"
"35","D","1.88"
"36","D","1.72"
"37","M","1.68"
