"","X4","X5"
"1","Pos","Height"
"2","G","1.92"
"3","D","1.87"
"4","D","1.80"
"5","D","1.87"
"6","M","1.91"
"7","M","1.70"
"8","F","1.95"
"9","F","1.76"
"10","F","1.81"
"11","D","1.94"
"12","M","1.75"
"13","M","1.88"
"14","M","1.80"
"15","M","1.75"
"16","F","1.80"
"17","G","1.92"
"18","M","1.82"
"19","M","1.77"
"20","D","1.85"
"21","D","1.90"
"22","M","1.80"
"23","M","1.94"
"24","G","1.90"
"25","D","1.75"
"26","D","1.82"
"27","D","1.82"
"28","M","1.78"
"29","G","1.88"
"30","D","1.80"
"31","M","1.72"
"32","G","1.91"
"33","M","1.75"
"34","D","1.76"
"35","Players no longer at this club","Players no longer at this club"
"36","Pos","Height"
"37","M","1.82"
"38","D","1.83"
"39","M","1.77"
"40","F","1.87"
"41","G","1.93"
"42","M","1.81"
"43","F","1.70"
"44","M","1.83"
