"","X4","X5"
"1","Pos","Height"
"2","G","1.93"
"3","D","1.83"
"4","D","1.85"
"5","M","1.83"
"6","D","1.80"
"7","M","1.78"
"8","M","1.79"
"9","F","1.84"
"10","M","1.76"
"11","D","1.78"
"12","F","1.80"
"13","D","1.80"
"14","M","1.75"
"15","F","1.80"
"16","M","1.83"
"17","M","1.66"
"18","D","1.83"
"19","M","1.70"
"20","D","1.75"
"21","M","1.63"
"22","D","1.78"
"23","G","1.99"
"24","F","1.87"
"25","D","1.91"
"26","M","1.78"
"27","G","1.91"
"28","F","1.91"
"29","D","1.85"
"30","F","1.75"
"31","Players no longer at this club","Players no longer at this club"
"32","Pos","Height"
"33","M","1.75"
"34","D","1.78"
"35","M","1.76"
"36","G","1.88"
"37","F","1.71"
"38","M","1.78"
"39","G","1.86"
"40","M","1.79"
"41","M","1.80"
"42","D","1.91"
