"","X4","X5"
"1","Pos","Height"
"2","G","1.90"
"3","D","1.90"
"4","D","1.70"
"5","D","1.88"
"6","D","1.76"
"7","F","1.93"
"8","M","1.75"
"9","F","1.93"
"10","M","1.67"
"11","M","1.82"
"12","G","1.90"
"13","M","1.85"
"14","M","1.82"
"15","M","1.80"
"16","F","1.72"
"17","M","1.77"
"18","M","1.70"
"19","F","1.87"
"20","D","1.91"
"21","D","1.93"
"22","D","1.73"
"23","D","1.79"
"24","F","1.80"
"25","M","1.80"
"26","F","1.77"
"27","M","1.78"
"28","D","1.87"
"29","M","1.85"
"30","D","1.72"
"31","F","1.83"
"32","M","1.68"
"33","M","1.69"
"34","M","1.69"
"35","D","1.92"
"36","M","1.75"
"37","D","1.90"
"38","D","1.84"
"39","M","1.77"
"40","F","1.83"
"41","F","1.84"
"42","D","1.77"
"43","D","1.86"
"44","F","1.79"
"45","Players no longer at this club","Players no longer at this club"
"46","Pos","Height"
"47","M","1.90"
"48","M","1.75"
"49","M","1.80"
"50","F","1.80"
"51","M","1.78"
"52","D","1.90"
