"","X4","X5"
"1","Pos","Height"
"2","G","1.85"
"3","D","1.77"
"4","D","1.78"
"5","D","1.85"
"6","D","1.91"
"7","M","1.79"
"8","F","1.87"
"9","F","1.78"
"10","M","1.74"
"11","G","1.93"
"12","M","1.75"
"13","D","1.88"
"14","D","1.84"
"15","G","1.91"
"16","M","1.83"
"17","F","1.74"
"18","M","1.90"
"19","M","1.78"
"20","M","1.87"
"21","M","1.79"
"22","D","1.86"
"23","D","1.85"
"24","F","1.73"
"25","D","1.80"
"26","M","1.74"
"27","M","1.75"
"28","D","1.85"
"29","F","1.78"
"30","F","1.77"
"31","M","1.78"
"32","D","1.85"
"33","M","1.70"
"34","F","1.75"
"35","F","1.78"
"36","D","1.83"
"37","Players no longer at this club","Players no longer at this club"
"38","Pos","Height"
"39","F","1.75"
"40","D","1.95"
"41","M","1.78"
"42","M","1.68"
"43","F","1.85"
"44","F","1.76"
"45","M","1.83"
"46","F","1.88"
"47","M","1.78"
