"","X4","X5"
"1","Pos","Height"
"2","G","1.84"
"3","D","1.83"
"4","D","1.84"
"5","D","1.93"
"6","D","1.88"
"7","M","1.70"
"8","M","1.80"
"9","F","1.73"
"10","D","1.91"
"11","D","1.87"
"12","M","1.81"
"13","M","1.74"
"14","M","1.83"
"15","M","1.73"
"16","M","1.73"
"17","D","1.80"
"18","M","1.79"
"19","M","1.79"
"20","D","1.83"
"21","G","1.88"
"22","F","1.75"
"23","D","1.88"
"24","D","1.75"
"25","M","1.71"
"26","G","1.97"
"27","D","1.82"
"28","D","1.75"
"29","F","1.72"
"30","D","1.87"
"31","F","1.69"
"32","M","1.80"
"33","M","1.65"
"34","D","1.83"
"35","Players no longer at this club","Players no longer at this club"
"36","Pos","Height"
"37","M","1.67"
"38","D","1.84"
"39","M","1.70"
"40","M","1.74"
"41","F","1.75"
