"","X4","X5"
"1","Pos","Height"
"2","G","1.96"
"3","D","1.78"
"4","M","1.80"
"5","D","1.83"
"6","D","1.86"
"7","M","1.77"
"8","M","1.78"
"9","F","1.74"
"10","M","1.80"
"11","M","1.68"
"12","D","1.82"
"13","F","1.85"
"14","M","1.77"
"15","D","1.89"
"16","M","1.80"
"17","D","1.79"
"18","G","1.89"
"19","D","1.84"
"20","M","1.76"
"21","F","1.85"
"22","D","1.85"
"23","D","1.92"
"24","M","1.80"
"25","D","1.83"
"26","M","1.85"
"27","D","1.80"
"28","D","1.75"
"29","G","1.95"
"30","F","1.75"
"31","D","1.76"
"32","D","1.75"
"33","M","1.85"
"34","D","1.85"
"35","Players no longer at this club","Players no longer at this club"
"36","Pos","Height"
"37","G","1.83"
"38","G","1.95"
"39","M","1.82"
"40","M","1.85"
