"","X4","X5"
"1","Pos","Height"
"2","G","1.86"
"3","D","1.88"
"4","D","1.75"
"5","M","1.78"
"6","D","1.92"
"7","D","1.95"
"8","M","1.74"
"9","F","1.84"
"10","F","1.72"
"11","M","1.81"
"12","M","1.80"
"13","D","1.87"
"14","G","1.97"
"15","M","1.80"
"16","F","1.86"
"17","M","1.83"
"18","F","1.90"
"19","M","1.78"
"20","D","1.83"
"21","F","1.89"
"22","D","1.78"
"23","F","1.82"
"24","M","1.84"
"25","D","1.91"
"26","M","1.83"
"27","G","1.85"
"28","M","1.78"
"29","D","1.91"
"30","M","1.83"
"31","G","1.88"
"32","M","1.73"
"33","D","1.85"
"34","M","1.74"
"35","M","1.83"
"36","F","1.84"
"37","M","1.73"
"38","Players no longer at this club","Players no longer at this club"
"39","Pos","Height"
"40","M","1.88"
"41","M","1.89"
"42","M","1.83"
"43","M","1.68"
"44","D","1.85"
"45","M","1.87"
"46","F","1.83"
"47","F","1.75"
"48","M","1.75"
"49","M","1.77"
"50","F","1.81"
