"","X4","X5"
"1","Pos","Height"
"2","G","1.84"
"3","D","1.83"
"4","D","1.84"
"5","D","1.93"
"6","D","1.88"
"7","M","1.70"
"8","M","1.80"
"9","F","1.73"
"10","D","1.91"
"11","M","1.81"
"12","M","1.74"
"13","M","1.83"
"14","M","1.73"
"15","M","1.73"
"16","D","1.80"
"17","D","1.96"
"18","M","1.79"
"19","D","1.83"
"20","G","1.88"
"21","F","1.75"
"22","M","1.75"
"23","M","1.88"
"24","F","1.85"
"25","M","1.75"
"26","D","1.80"
"27","M","1.71"
"28","G","1.97"
"29","M","1.70"
"30","M","1.70"
"31","M","1.76"
"32","F","1.72"
"33","M","1.74"
"34","M","1.70"
"35","D","1.87"
"36","D","1.82"
"37","F","1.69"
"38","M","1.85"
"39","D","1.81"
"40","G","1.93"
"41","F","1.75"
"42","Players no longer at this club","Players no longer at this club"
"43","Pos","Height"
"44","G","1.96"
"45","M","1.73"
"46","F","1.78"
"47","M","1.62"
"48","D","1.76"
"49","D","1.73"
"50","M","1.73"
"51","M","1.87"
"52","M","1.75"
"53","M","1.77"
"54","M","1.67"
"55","F","1.82"
"56","D","1.84"
"57","M","1.78"
"58","F","1.83"
"59","M","1.85"
"60","D","1.77"
"61","M","1.78"
"62","M","1.82"
"63","D","1.77"
"64","D","1.87"
"65","D","1.85"
"66","M","1.77"
"67","G","1.90"
