"","X4","X5"
"1","Pos","Height"
"2","M","1.87"
"3","D","1.93"
"4","M","1.75"
"5","D","1.88"
"6","M","1.75"
"7","M","1.72"
"8","F","1.81"
"9","F","1.75"
"10","F","1.75"
"11","D","1.88"
"12","G","1.91"
"13","M","1.82"
"14","F","1.88"
"15","D","1.71"
"16","M","1.72"
"17","M","1.80"
"18","G","1.93"
"19","M","1.69"
"20","F","1.76"
"21","D","1.78"
"22","F","1.85"
"23","D","1.95"
"24","D","1.90"
"25","D","1.81"
"26","D","1.80"
"27","D","1.80"
"28","M","1.88"
"29","F","1.74"
"30","G","1.91"
"31","D","1.85"
"32","M","1.75"
"33","D","1.75"
"34","M","1.78"
"35","Players no longer at this club","Players no longer at this club"
"36","Pos","Height"
"37","G","1.94"
"38","M","1.73"
"39","M","1.72"
"40","M","1.73"
"41","D","1.87"
"42","M","1.91"
"43","G","1.89"
"44","F","1.77"
"45","D","1.75"
"46","F","1.87"
"47","G","1.90"
"48","M","1.83"
"49","M","1.75"
