"","X4","X5"
"1","Pos","Height"
"2","G","1.86"
"3","D","1.88"
"4","D","1.75"
"5","M","1.83"
"6","D","1.92"
"7","D","1.95"
"8","M","1.74"
"9","M","1.91"
"10","F","1.94"
"11","M","1.81"
"12","M","1.80"
"13","D","1.87"
"14","G","1.97"
"15","M","1.80"
"16","M","1.78"
"17","G","1.89"
"18","F","1.90"
"19","M","1.78"
"20","F","1.89"
"21","D","1.78"
"22","D","1.90"
"23","M","1.84"
"24","D","1.91"
"25","F","1.75"
"26","M","1.83"
"27","G","1.92"
"28","D","1.75"
"29","M","1.70"
"30","D","1.90"
"31","D","1.91"
"32","M","1.73"
"33","M","1.73"
"34","D","1.86"
"35","Players no longer at this club","Players no longer at this club"
"36","Pos","Height"
"37","M","1.68"
"38","F","1.75"
"39","F","1.82"
"40","F","1.83"
"41","M","1.75"
"42","M","1.74"
